curve_id,path,relative_path,file_name,structure,crystallinity_pct,crystallinity,deformation_rate_label,deformation_rate,n_raw,n_original,n_smoothed,n_cut,yield_strain,yield_stress,youngs_modulus,end_linear_strain,end_linear_stress,ultimate_strain,ultimate_stress
lattice_ipp_90_in.def_7.4e-8_Tau,/data/hlobato/cryst/lattice/ipp_90/in.def_7.4e-8/Tau.evol,lattice/ipp_90/in.def_7.4e-8/Tau.evol,Tau.evol,lattice,90,0.9,7.4e-8,7.4e-08,4000,4001,4001,4001,0.10448999999999997,28.714005870100127,562.6464942030973,0.03546999999999989,20.945802675,2.26718,51.979826325
random_ipp_10_in.def_2.4e-7_Tau,/data/hlobato/cryst/random/ipp_10/in.def_2.4e-7/Tau.evol,random/ipp_10/in.def_2.4e-7/Tau.evol,Tau.evol,random,10,0.1,2.4e-7,2.4e-07,4000,1445,1445,1368,0.17361000000000004,51.28716831576639,641.8345143384151,0.048920000000000075,34.666119599999995,2.71389,86.45626552499999
random_ipp_10_in.def_7.4e-7_Tau,/data/hlobato/cryst/random/ipp_10/in.def_7.4e-7/Tau.evol,random/ipp_10/in.def_7.4e-7/Tau.evol,Tau.evol,random,10,0.1,7.4e-7,7.4e-07,4000,469,469,469,0.26251,54.361069618857634,761.2011808032645,0.057069999999999954,41.623803375,2.99299,101.38680825
random_ipp_10_in.def_7.4e-8_Tau,/data/hlobato/cryst/random/ipp_10/in.def_7.4e-8/Tau.evol,random/ipp_10/in.def_7.4e-8/Tau.evol,Tau.evol,random,10,0.1,7.4e-8,7.4e-08,4000,4001,4001,4001,0.1067800000000001,36.167892967977835,662.2350991950458,0.037919999999999954,27.466674374999997,2.26718,78.30862095
random_ipp_20_in.def_2.4e-7_Tau,/data/hlobato/cryst/random/ipp_20/in.def_2.4e-7/Tau.evol,random/ipp_20/in.def_2.4e-7/Tau.evol,Tau.evol,random,20,0.2,2.4e-7,2.4e-07,4000,1445,1445,1445,0.2360500000000001,48.33471966207264,653.5755584109521,0.0519400000000001,32.61550425,2.99882,96.50111940000001
random_ipp_20_in.def_7.4e-7_Tau,/data/hlobato/cryst/random/ipp_20/in.def_7.4e-7/Tau.evol,random/ipp_20/in.def_7.4e-7/Tau.evol,Tau.evol,random,20,0.2,7.4e-7,7.4e-07,4000,469,469,451,0.13490000000000002,53.84178755385208,718.6151725200151,0.06020000000000003,39.82295415,2.78581,99.2146029
random_ipp_20_in.def_7.4e-8_Tau,/data/hlobato/cryst/random/ipp_20/in.def_7.4e-8/Tau.evol,random/ipp_20/in.def_7.4e-8/Tau.evol,Tau.evol,random,20,0.2,7.4e-8,7.4e-08,4000,4001,4001,3844,0.13396999999999992,38.644198352089504,464.7782113169111,0.06720999999999999,33.0615369,2.11882,78.79011734999999
random_ipp_30_in.def_2.4e-7_Tau,/data/hlobato/cryst/random/ipp_30/in.def_2.4e-7/Tau.evol,random/ipp_30/in.def_2.4e-7/Tau.evol,Tau.evol,random,30,0.3,2.4e-7,2.4e-07,4000,1445,1445,1445,0.14029000000000003,44.33345105096804,624.5172984750571,0.05498000000000003,34.732690125000005,2.99882,92.19379364999999
random_ipp_30_in.def_7.4e-7_Tau,/data/hlobato/cryst/random/ipp_30/in.def_7.4e-7/Tau.evol,random/ipp_30/in.def_7.4e-7/Tau.evol,Tau.evol,random,30,0.3,7.4e-7,7.4e-07,4000,469,469,441,0.20055,53.096277300990366,642.7847703941964,0.06335000000000002,38.075604524999996,2.6754,96.494533275
random_ipp_30_in.def_7.4e-8_Tau,/data/hlobato/cryst/random/ipp_30/in.def_7.4e-8/Tau.evol,random/ipp_30/in.def_7.4e-8/Tau.evol,Tau.evol,random,30,0.3,7.4e-8,7.4e-08,4000,4001,4001,4001,0.13162000000000007,36.168377555931805,541.1737486662824,0.037309999999999954,20.247065475,2.26718,78.257857125
